"species","decimalLatitude","decimalLongitude","family","year","month","day","recordedBy","identifiedBy"
"Afranthidium schulthessii",38.924,-2.82,NA,2009,6,9,"C. Ornosa, F. Torres","C. Ornosa"
"Afranthidium carduele",38.924,-2.82,NA,2009,6,9,"C. Ornosa, F. Torres","C. Ornosa"
"Afranthidium schulthessii",36.163,-3.056,NA,2006,7,23,"J. Ortiz","C. Ornosa"
"Afranthidium schulthessii",37.157,-7.544,NA,2016,4,27,"T. Wood","G. Legoff"
"Afranthidium schulthessii",37.157,-7.544,NA,2017,4,23,"I. Cross","I. Cross"
"Afranthidium carduele",41.9,-6.736,NA,2018,7,25,"R. Andrade","G. Legoff"
"Afranthidium schulthessii",36.98,-3.123,NA,2015,5,22,"Online_Simon Oliver","Online_Simon Oliver"
"Afranthidium schulthessii",36.982,-3.127,NA,2015,6,2,"Online_Simon Oliver","Online_Simon Oliver"
"Afranthidium schulthessii",36.621,-4.5,NA,1978,4,15,"Online_G.e. Bohart","Online_T.l. Griswold 1995"
"Afranthidium schulthessii",36.621,-4.5,NA,1978,4,10,"Online_G.e. Bohart","Online_T.l. Griswold 1995"
"Afranthidium schulthessii",36.621,-4.5,NA,1978,4,25,"Online_G.e. Bohart","Online_T.l. Griswold 1995"
"Afranthidium schulthessii",36.621,-4.5,NA,1978,5,4,"Online_G.e. Bohart","Online_T.l. Griswold 1995"
"Afranthidium schulthessii",37.711,-2.166,NA,1974,6,3,NA,"Online_T.l. Griswold 1995"
"Afranthidium schulthessii",40.252,-0.752,NA,2021,7,13,"Online_Rafael_carbonell","Online_Rafael_carbonell"
"Aglaoapis tridentata",40.421,-1.998,NA,1971,NA,NA,NA,"Pasteels J"
"Aglaoapis tridentata",40.2,-8.41,NA,1989,NA,NA,NA,NA
"Aglaoapis tridentata",40.14,-8.86,NA,1989,NA,NA,NA,NA
"Aglaoapis tridentata",41.27,-8.08,NA,1989,NA,NA,NA,NA
"Aglaoapis tridentata",40.598,-3.072,NA,2019,7,20,"T. Wood","T. Wood"
"Amegilla albigena",37.247,-6.429,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla albigena",37.124,-6.507,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla albigena",37.331,-6.668,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla albigena",37.405,-6.681,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla albigena",37.214,-6.372,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla albigena",37.29,-6.433,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla albigena",37.282,-6.555,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla albigena",37.233,-6.555,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla albigena",37.235,-6.169,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla albigena",37.218,-6.304,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla albigena",37.249,-6.661,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla albigena",37.292,-6.752,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla albigena",37.291,-6.223,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla albigena",37.239,-6.281,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla albigena",37.288,-6.675,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla albigena",37.195,-6.761,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla fasciata",37.29,-6.433,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla fasciata",37.195,-6.761,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla fasciata",37.288,-6.675,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla fasciata",37.405,-6.681,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla fasciata",37.292,-6.752,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla fasciata",37.247,-6.429,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla fasciata",37.291,-6.223,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla fasciata",37.124,-6.507,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla fasciata",37.218,-6.304,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla fasciata",37.214,-6.372,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla fasciata",37.249,-6.661,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla fasciata",37.235,-6.169,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla fasciata",37.282,-6.555,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla fasciata",37.331,-6.668,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla fasciata",37.239,-6.281,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla fasciata",37.233,-6.555,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla quadrifasciata",37.124,-6.507,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla quadrifasciata",37.218,-6.304,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla quadrifasciata",37.249,-6.661,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla quadrifasciata",37.292,-6.752,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla quadrifasciata",37.405,-6.681,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla quadrifasciata",37.331,-6.668,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla quadrifasciata",37.282,-6.555,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla quadrifasciata",37.288,-6.675,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla quadrifasciata",37.195,-6.761,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla quadrifasciata",37.29,-6.433,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla quadrifasciata",37.235,-6.169,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla quadrifasciata",37.291,-6.223,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla quadrifasciata",37.214,-6.372,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla quadrifasciata",37.233,-6.555,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla quadrifasciata",37.247,-6.429,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla quadrifasciata",37.239,-6.281,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla albigena",39.84,-8.644,NA,2019,8,11,"H. Gaspar, P.Ferreira","H. Gaspar"
"Amegilla quadrifasciata",39.942,-8.581,NA,2017,8,8,"H. Gaspar","H. Gaspar"
"Amegilla albigena",40.244,-5.104,NA,1987,7,24,NA,NA
"Amegilla albigena",40.409,-5.416,NA,1987,8,19,NA,NA
"Amegilla magnilabris",40.559,-5.114,NA,1987,7,21,NA,NA
"Amegilla albigena",40.12,-5.464,NA,1988,8,20,NA,NA
"Amegilla quadrifasciata",40.12,-5.464,NA,1988,7,20,NA,NA
"Amegilla andresi",36.818,-2.248,NA,2020,3,6,"A. Trillo","F.J. Ortiz-Sánchez"
"Amegilla quadrifasciata",40.445,-3.739,NA,2015,6,5,"C. Azpiazu","O. Aguado"
"Amegilla quadrifasciata",39.672,-3.181,NA,2015,7,28,"C. Azpiazu","O. Aguado"
"Amegilla quadrifasciata",40.317,-3.486,NA,2015,5,12,"C. Azpiazu","O. Aguado"
"Amegilla albigena",36.759,-4.04,NA,2018,4,NA,"O. Aguado","O. Aguado"
"Amegilla quadrifasciata",39.621,2.748,NA,2018,8,24,"Joan Díaz Calafat","Joan Díaz Calafat"
"Amegilla quadrifasciata",39.546,3.155,NA,2018,8,5,"Joan Díaz Calafat","Joan Díaz Calafat"
"Amegilla quadrifasciata",39.621,2.749,NA,2016,5,6,"Joan Díaz Calafat","Joan Díaz Calafat"
"Amegilla quadrifasciata",39.636,2.647,NA,2016,7,NA,"Joan Díaz Calafat","Joan Díaz Calafat"
"Amegilla quadrifasciata",39.621,2.748,NA,2017,5,30,"Joan Díaz Calafat","Joan Díaz Calafat"
"Amegilla quadrifasciata",36.641,-4.604,NA,2010,5,28,"M. Fernández-Mazuecos, J.L. Blanco","C. Ornosa"
"Amegilla quadrifasciata",36.641,-4.604,NA,2014,5,30,"M. Fernández-Mazuecos, J.L. Blanco","M. Fernández-Mazuecos"
"Amegilla quadrifasciata",36.856,-4.821,NA,2015,6,6,"M. Fernández-Mazuecos","C. Ornosa"
"Amegilla fasciata",38.06,-0.663,NA,1997,NA,NA,"Le Goff G","Le Goff G"
"Amegilla andresi",38.06,-0.663,NA,1997,NA,NA,"Le Goff G","Le Goff G"
"Amegilla quadrifasciata",38.06,-0.663,NA,1997,NA,NA,"Le Goff G","Le Goff G"
"Amegilla albigena",38.06,-0.663,NA,1997,NA,NA,"Le Goff G","Le Goff G"
"Amegilla quadrifasciata",38.06,-0.663,NA,1998,NA,NA,"Le Goff G","Le Goff G"
"Amegilla quadrifasciata",39.74,-8.81,NA,1998,9,14,"M. Jenner","D. Baldock"
"Amegilla andresi",37.34,-8.85,NA,2009,10,12,"D. Baldock","M. Schwarz"
"Amegilla quadrifasciata",38.883,1.444,NA,NA,NA,NA,NA,"Rasmont P"
"Amegilla fasciata",36.728,-3.728,NA,1903,NA,NA,NA,"Le Goff G"
"Amegilla albigena",38.84,-7.59,NA,1921,6,19,NA,NA
"Amegilla quadrifasciata",38.84,-7.59,NA,1921,6,19,NA,NA
"Amegilla albigena",40.2,-8.41,NA,1931,NA,NA,NA,NA
"Amegilla quadrifasciata",38.53,-8.01,NA,1931,NA,NA,NA,NA
"Amegilla quadrifasciata",40.19,-8.86,NA,1931,NA,NA,NA,NA
"Amegilla albigena",39.588,-0.496,NA,1939,1,1,"Quilis Perez M.","Rasmont P"
"Amegilla albigena",36.728,-3.728,NA,1958,NA,NA,NA,"Rasmont P"
"Amegilla quadrifasciata",42.137,2.818,NA,1958,NA,NA,NA,"Rasmont P"
"Amegilla quadrifasciata",39.405,-0.387,NA,1959,NA,NA,NA,"Rasmont P"
"Amegilla quadrifasciata",39.78,-8.97,NA,1959,NA,NA,NA,NA
"Amegilla quadrifasciata",41.4,-8.21,NA,1959,NA,NA,NA,NA
"Amegilla quadrifasciata",38.587,-0.072,NA,1961,NA,NA,NA,"Rasmont P"
"Amegilla albigena",41.957,3.181,NA,1962,NA,NA,"Baker, D., Baker, M",NA
"Amegilla quadrifasciata",42.137,3.061,NA,1962,NA,NA,"Baker, D., Baker, M",NA
"Amegilla quadrifasciata",41.957,3.181,NA,1962,NA,NA,"Baker, D., Baker, M",NA
"Amegilla ochroleuca",41.596,2.58,NA,1962,NA,NA,NA,"Rasmont P"
"Amegilla albigena",42.047,3.181,NA,1963,NA,NA,"Baker D",NA
"Amegilla fasciata",42.047,3.181,NA,1963,NA,NA,"Baker D",NA
"Amegilla quadrifasciata",42.047,3.181,NA,1963,NA,NA,"Baker D",NA
"Amegilla andresi",38.613,-9.21,NA,1964,6,23,"Colln. Mendoça","D. Baldock"
"Amegilla albigena",37.99,-3.854,NA,1964,NA,NA,NA,"Rasmont P"
"Amegilla albigena",41.922,0.166,NA,1965,NA,NA,NA,"Rasmont P"
"Amegilla albigena",39.85,-0.136,NA,1965,NA,NA,NA,"Rasmont P"
"Amegilla albigena",41.922,0.166,NA,1966,NA,NA,NA,"Rasmont P"
"Amegilla quadrifasciata",41.922,0.166,NA,1966,NA,NA,NA,"Rasmont P"
"Amegilla albigena",42.015,0.283,NA,1967,NA,NA,NA,"Rasmont P"
"Amegilla magnilabris",41.922,0.166,NA,1967,NA,NA,NA,"Rasmont P"
"Amegilla quadrifasciata",41.922,0.166,NA,1967,NA,NA,NA,"Rasmont P"
"Amegilla albigena",41.112,-0.201,NA,1967,NA,NA,NA,"Rasmont P"
"Amegilla albigena",41.832,0.17,NA,1967,NA,NA,NA,"Rasmont P"
"Amegilla albigena",41.742,0.174,NA,1967,NA,NA,NA,"Rasmont P"
"Amegilla albigena",41.922,0.166,NA,1968,NA,NA,NA,"Rasmont P"
"Amegilla albigena",39.23,-8.68,NA,1968,7,20,"Colln. Mendoça","D. Baldock"
"Amegilla quadrifasciata",39.405,-0.387,NA,1968,NA,NA,NA,"Rasmont P"
"Amegilla albigena",39.133,-0.281,NA,1969,NA,NA,NA,"Rasmont P"
"Amegilla quadrifasciata",39.133,-0.281,NA,1969,NA,NA,NA,"Rasmont P"
"Amegilla albigena",39.685,-0.843,NA,1969,NA,NA,NA,"Rasmont P"
"Amegilla quadrifasciata",39.685,-0.843,NA,1969,NA,NA,NA,"Rasmont P"
"Amegilla albigena",39.683,-0.726,NA,1969,NA,NA,NA,"Rasmont P"
"Amegilla albigena",39.138,-0.512,NA,1969,NA,NA,NA,"Rasmont P"
"Amegilla albigena",38.96,-0.634,NA,1969,NA,NA,NA,"Rasmont P"
"Amegilla quadrifasciata",37.118,-8.537,NA,1969,8,17,NA,"Rasmont P"
"Amegilla albigena",38.59,-0.187,NA,1970,NA,NA,NA,"Rasmont P"
"Amegilla albigena",38.587,-0.072,NA,1970,NA,NA,NA,"Rasmont P"
"Amegilla quadrifasciata",38.587,-0.072,NA,1970,NA,NA,NA,"Rasmont P"
"Amegilla albigena",41.133,1.272,NA,1970,NA,NA,NA,"Rasmont P"
"Amegilla albigena",40.141,-1.181,NA,1970,NA,NA,NA,"Rasmont P"
"Amegilla magnilabris",41.663,0.658,NA,1970,NA,NA,NA,"Rasmont P"
"Amegilla quadrifasciata",41.028,0.443,NA,1970,NA,NA,NA,"Rasmont P"
"Amegilla quadrifasciata",42.29,-0.513,NA,1970,NA,NA,NA,"Rasmont P"
"Amegilla albigena",39.312,-0.274,NA,1971,NA,NA,NA,"Rasmont P"
"Amegilla quadrifasciata",41.133,1.272,NA,1971,NA,NA,NA,"Rasmont P"
"Amegilla albigena",37.72,-8.79,NA,1972,7,11,"Colln. Mendoça","D. Baldock"
"Amegilla quadrifasciata",37.096,-8.169,NA,1973,7,23,NA,"Rasmont P"
"Amegilla albigena",37.096,-8.169,NA,1973,7,23,NA,"Rasmont P"
"Amegilla albigena",38.06,-0.663,NA,1973,NA,NA,NA,"Rasmont P"
"Amegilla albigena",37.096,-8.169,NA,1973,7,27,NA,"Rasmont P"
"Amegilla albigena",41.663,0.658,NA,1974,NA,NA,"P. F. Torchio, E. Ase","Brooks Rw"
"Amegilla velocissima",41.663,0.658,NA,1974,NA,NA,"Torchio Pf","Rasmont P"
"Amegilla quadrifasciata",41.575,0.781,NA,1974,NA,NA,"Torchio, Asensio",NA
"Amegilla quadrifasciata",41.66,-0.538,NA,1974,NA,NA,"Torchio, Asensio",NA
"Amegilla velocissima",41.66,-0.538,NA,1974,NA,NA,"Torchio Pf","Rasmont P"
"Amegilla albigena",41.674,-4.742,NA,1974,NA,NA,"P. F. Torchio, E. Ase",NA
"Amegilla ochroleuca",42.653,-0.621,NA,1974,NA,NA,NA,"Rasmont P"
"Amegilla albigena",38.587,-0.072,NA,1974,NA,NA,NA,"Rasmont P"
"Amegilla velocissima",41.483,-5.336,NA,1975,NA,NA,"Torchio Pf","Torchio Pf"
"Amegilla quadrifasciata",38.677,-0.069,NA,1975,NA,NA,NA,"Rasmont P"
"Amegilla quadrifasciata",38.883,1.444,NA,1975,NA,NA,NA,"Rasmont P"
"Amegilla albigena",38.677,-0.069,NA,1976,NA,NA,NA,"Rasmont P"
"Amegilla quadrifasciata",38.677,-0.069,NA,1976,NA,NA,NA,"Rasmont P"
"Amegilla quadrifasciata",36.631,-4.51,NA,1978,NA,NA,"Bohart, George",NA
"Amegilla magnilabris",38.974,1.442,NA,1979,NA,NA,"Hohmann","Hohmann"
"Amegilla albigena",38.974,1.442,NA,1979,NA,NA,"Hohmann","Hohmann"
"Amegilla quadrifasciata",42.317,3.303,NA,1979,NA,NA,NA,"Rasmont P"
"Amegilla garrula",42.317,3.303,NA,1979,NA,NA,NA,"Rasmont P"
"Amegilla quadrifasciata",40.964,-8.346,NA,1979,9,9,"Speijer E. A. M.","Rasmont P"
"Amegilla quadrifasciata",40.488,0.463,NA,1979,NA,NA,"Speijer E. A. M.","Rasmont P"
"Amegilla albigena",42.462,0.142,NA,1980,NA,NA,"Rasmont, Pauly","Rasmont P"
"Amegilla quadrifasciata",41.947,-7.492,NA,1981,NA,NA,"Speijer E. A. M.","Rasmont P"
"Amegilla quadrifasciata",38.65,-9.2,NA,1985,6,13,"Cölln, Risch, Sorg","P. Westrich"
"Amegilla magnilabris",38.677,0.069,NA,1985,NA,NA,NA,"Rasmont P"
"Amegilla albigena",38.65,-9.2,NA,1985,9,5,"Cölln, Risch, Sorg","P. Westrich"
"Amegilla albigena",40.45,-7.64,NA,1986,7,27,"Colln. Mendoça","D. Baldock"
"Amegilla albigena",39.23,-8.68,NA,1986,10,21,"Colln. Mendoça","D. Baldock"
"Amegilla albigena",37.1,-8.46,NA,1988,6,26,"J. W. Ismay","T. Wood"
"Amegilla velocissima",41.526,-5.395,NA,1975,7,4,"Online_P.f. Torchio",NA
"Amegilla quadrifasciata",41.656,-0.516,NA,1974,6,16,"Online_P.f. Torchio, E. Asensio",NA
"Amegilla velocissima",41.656,-0.516,NA,1974,6,16,"Online_P.f. Torchio, E. Asensio",NA
"Amegilla albigena",40.305,-7.551,NA,1990,7,24,NA,NA
"Amegilla albigena",40.382,-7.544,NA,1990,7,26,NA,NA
"Amegilla albigena",40.35,-7.57,NA,1990,8,2,NA,NA
"Amegilla albigena",40.19,-8.86,NA,1990,8,2,NA,NA
"Amegilla albigena",37.09,2.381,NA,1995,NA,NA,"Y. Barbier","Rasmont P"
"Amegilla albigena",36.909,2.383,NA,1995,NA,NA,"Y. Barbier","Rasmont P"
"Amegilla fasciata",37.09,2.381,NA,1995,NA,NA,"Rasmont P","Rasmont P"
"Amegilla albigena",40.459,-7.648,NA,1986,7,27,"Online_Nuno Mendoça","Online_David W. Baldock"
"Amegilla quadrifasciata",39.64,-8.673,NA,1986,8,22,"Online_Nuno De Mendoça","Online_David W. Baldock"
"Amegilla albigena",39.233,-8.656,NA,1986,9,4,"Online_Nuno Mendoça","Online_David W. Baldock"
"Amegilla quadrifasciata",39.233,-8.656,NA,1985,9,11,"Online_José De Mendoça","Online_David W. Baldock"
"Amegilla albigena",37.771,-8.725,NA,1972,7,11,"Online_Nuno De Noronha De Mendoça","Online_David W. Baldock"
"Amegilla andresi",37.724,-8.783,NA,1972,7,17,"Online_Nuno De Noronha De Mendoça","Online_Luis Filipe Lopes"
"Amegilla quadrifasciata",38.06,-0.663,NA,2000,NA,NA,"Le Goff G","Le Goff G"
"Amegilla quadrifasciata",38.06,-0.663,NA,2001,NA,NA,"Le Goff G","Le Goff G"
"Amegilla quadrifasciata",38.242,-0.772,NA,2001,NA,NA,NA,"Le Goff G"
"Amegilla albigena",37.09,-8.75,NA,2001,6,6,"G. W. Allen","D. Baldock"
"Amegilla quadrifasciata",37.51,-8.44,NA,2002,5,2,"D. Baldock","F. J. Ortiz"
"Amegilla albigena",36.728,-3.728,NA,2003,NA,NA,NA,"Le Goff G"
"Amegilla andresi",36.731,-3.056,NA,2003,NA,NA,NA,"Le Goff G"
"Amegilla quadrifasciata",37.13,-7.6,NA,2004,10,4,"R. De Boer",NA
"Amegilla quadrifasciata",36.728,-3.728,NA,2005,NA,NA,NA,"Le Goff G"
"Amegilla quadrifasciata",36.817,-2.047,NA,2005,NA,NA,NA,"Le Goff G"
"Amegilla quadrifasciata",37.43,-8.77,NA,2008,9,1,"A. Livory, R. Coulomb","D. Baldock"
"Amegilla quadrifasciata",37.31,-8.57,NA,2008,9,10,"A. Livory, R. Coulomb","D. Baldock"
"Amegilla quadrifasciata",37.43,-8.77,NA,2009,7,4,"A. Livory, R. Coulomb","D. Baldock"
"Amegilla albigena",37.13,-8.3,NA,2009,7,15,"D. Baldock","D. Baldock"
"Amegilla quadrifasciata",37.13,-8.3,NA,2009,7,15,"D. Baldock","D. Baldock"
"Amegilla magnilabris",38.838,-9.266,NA,2009,9,14,"R. Andrade","G. Legoff"
"Amegilla quadrifasciata",37.13,-8.3,NA,2009,10,11,"D. Baldock","D. Baldock"
"Amegilla quadrifasciata",37.34,-8.85,NA,2009,10,12,"D. Baldock","D. Baldock"
"Amegilla fasciata",37.089,-8.422,NA,2009,10,13,"D. Baldock","M. Schwarz"
"Amegilla quadrifasciata",37.13,-8.6,NA,2009,10,13,"D. Baldock","D. Baldock"
"Amegilla albigena",37.43,-8.77,NA,2010,7,25,"A. Livory, R. Coulomb","D. Baldock"
"Amegilla quadrifasciata",37.31,-8.57,NA,2010,7,29,"A. Livory, R. Coulomb","D. Baldock"
"Amegilla quadrifasciata",37.13,-7.64,NA,2010,8,2,"A. Livory, R. Coulomb","D. Baldock"
"Amegilla quadrifasciata",37.12,-7.92,NA,2010,9,20,"H. Whiteley","D. Baldock"
"Amegilla albigena",37.19,-8.44,NA,2010,10,12,"D. Baldock","D. Baldock"
"Amegilla quadrifasciata",37.19,-8.44,NA,2010,10,12,"D. Baldock","D. Baldock"
"Amegilla andresi",37.43,-8.77,NA,2011,5,27,"A. Livory, R. Coulomb","G. Legoff"
"Amegilla magnilabris",37.43,-8.77,NA,2011,5,27,"A. Livory, R. Coulomb","G. Legoff"
"Amegilla andresi",37.13,-7.64,NA,2011,6,1,"A. Livory, R. Coulomb","G. Legoff"
"Amegilla albigena",38.45,-9.1,NA,2011,6,3,"A. Livory, R. Coulomb","D. Baldock"
"Amegilla quadrifasciata",38.414,-9.215,NA,2011,6,4,"A. Livory, R. Coulomb","D. Baldock"
"Amegilla albigena",37.19,-8.44,NA,2011,6,10,"D. Baldock","D. Baldock"
"Amegilla quadrifasciata",37.19,-8.44,NA,2011,6,10,"D. Baldock","D. Baldock"
"Amegilla quadrifasciata",37.094,-8.337,NA,2011,6,11,"D. Baldock","D. Baldock"
"Amegilla fasciata",37.19,-7.42,NA,2011,7,28,"J. Smit",NA
"Amegilla andresi",37.72,-8.79,NA,2012,5,18,"A. Livory, R. Coulomb","G. Legoff"
"Amegilla quadrifasciata",37.01,-8.94,NA,2012,7,20,"A. Livory, R. Coulomb","A. Livory"
"Amegilla albigena",37.13,-8.6,NA,2012,7,22,"A. Livory, R. Coulomb","A. Livory"
"Amegilla andresi",37.13,-8.6,NA,2012,7,22,"A. Livory, R. Coulomb","D. Baldock"
"Amegilla albigena",37.13,-7.6,NA,2012,7,24,"A. Livory, R. Coulomb","A. Livory"
"Amegilla quadrifasciata",38.94,-8.16,NA,2013,6,1,"A. Albernaz Valente","D. Baldock"
"Amegilla albigena",38.94,-8.16,NA,2013,9,4,"A. Albernaz Valente","D. Baldock"
"Amegilla andresi",37.19,-8.9,NA,2014,9,14,"A. Livory, R. Coulomb","G. Legoff"
"Amegilla quadrifasciata",37.19,-8.9,NA,2014,9,14,"A. Livory, R. Coulomb","A. Livory"
"Amegilla albigena",37.19,-8.9,NA,2014,9,14,"A. Livory, R. Coulomb","A. Livory"
"Amegilla andresi",37.72,-8.79,NA,2014,9,21,"A. Livory, R. Coulomb","G. Legoff"
"Amegilla andresi",37.65,-8.79,NA,2014,9,22,"A. Livory, R. Coulomb","A. Livory"
"Amegilla quadrifasciata",37.94,-7.59,NA,2014,9,26,"A. Livory, R. Coulomb","A. Livory"
"Amegilla albigena",38.13,-7.45,NA,2014,9,27,"A. Livory, R. Coulomb","A. Livory"
"Amegilla quadrifasciata",38.13,-7.45,NA,2014,9,27,"A. Livory, R. Coulomb","A. Livory"
"Amegilla albigena",37.146,-8.602,NA,2015,6,10,"J. D'haeseleer","T. Wood"
"Amegilla quadrifasciata",37.16,-8.601,NA,2015,7,1,"J. D'haeseleer","T. Wood"
"Amegilla albigena",37.16,-8.601,NA,2015,7,8,"J. D'haeseleer","T. Wood"
"Amegilla quadrifasciata",37.16,-8.601,NA,2015,7,8,"J. D'haeseleer","T. Wood"
"Amegilla andresi",37.031,-7.77,NA,2015,8,1,"M.&E. Howe","T. Wood"
"Amegilla albigena",37.16,-8.601,NA,2015,8,5,"J. D'haeseleer","T. Wood"
"Amegilla albigena",37.23,-8.37,NA,2015,8,5,"I. Cross","I. Cross"
"Amegilla quadrifasciata",37.16,-8.601,NA,2015,8,5,"J. D'haeseleer","T. Wood"
"Amegilla magnilabris",41.34,-6.96,NA,2015,8,6,"A. Penado","G. Legoff"
"Amegilla quadrifasciata",37.34,-8.84,NA,2015,8,7,"I. Cross","I. Cross"
"Amegilla quadrifasciata",39.59,-9.07,NA,2015,8,19,"A. Livory, R. Coulomb","A. Livory"
"Amegilla quadrifasciata",39.513,-9.132,NA,2015,8,20,"A. Livory, R. Coulomb","A. Livory"
"Amegilla andresi",39.513,-9.132,NA,2015,8,21,"A. Livory, R. Coulomb","A. Livory"
"Amegilla andresi",39.36,-9.38,NA,2015,8,22,"A. Livory, R. Coulomb","A. Livory"
"Amegilla andresi",39.59,-9.07,NA,2015,8,23,"A. Livory, R. Coulomb","A. Livory"
"Amegilla quadrifasciata",40.38,-7.55,NA,2015,8,25,"A. Livory, R. Coulomb","A. Livory"
"Amegilla quadrifasciata",41.34,-6.96,NA,2015,8,24,"A. Penado","T. Wood"
"Amegilla albigena",40.39,-7.54,NA,2015,8,26,"A. Livory, R. Coulomb","A. Livory"
"Amegilla albigena",40.42,-7.49,NA,2015,8,27,"A. Livory, R. Coulomb","A. Livory"
"Amegilla quadrifasciata",40.42,-7.49,NA,2015,8,27,"A. Livory, R. Coulomb","A. Livory"
"Amegilla albigena",41.34,-6.96,NA,2015,6,1,"A. Penado","T. Wood"
"Amegilla quadrifasciata",37.068,-8.811,NA,2015,9,16,"T. Wood","T. Wood"
"Amegilla andresi",37.19,-8.9,NA,2015,9,17,"T. Wood","D. Baldock"
"Amegilla quadrifasciata",37.19,-8.9,NA,2015,9,17,"T. Wood","T. Wood"
"Amegilla quadrifasciata",37.062,-8.84,NA,2015,9,21,"T. Wood","T. Wood"
"Amegilla albigena",37.06,-8.83,NA,2015,10,14,"D. Baldock","D. Baldock"
"Amegilla quadrifasciata",37.19,-8.9,NA,2015,10,15,"D. Baldock","D. Baldock"
"Amegilla quadrifasciata",37.068,-8.811,NA,2015,11,26,"I. Cross","I. Cross"
"Amegilla quadrifasciata",37.062,-8.84,NA,2016,5,11,"I. Cross","I. Cross"
"Amegilla fasciata",37.101,-7.66,NA,2016,5,30,"A. Livory, R. Coulomb","G. Legoff"
"Amegilla quadrifasciata",37.64,-7.66,NA,2016,6,5,"A. Livory, R. Coulomb","A. Livory"
"Amegilla albigena",38.707,-9.182,NA,2016,6,16,"M. Carvajal","D. Baldock"
"Amegilla albigena",41.859,-6.747,NA,2016,6,29,"T. Wood","T. Wood"
"Amegilla quadrifasciata",38.639,-9.149,NA,2016,7,4,"A. Penado","T. Wood"
"Amegilla quadrifasciata",38.707,-9.182,NA,2016,3,1,"M. Carvajal","D. Baldock"
"Amegilla albigena",40.332,-7.597,NA,2016,8,14,"A. Albernaz Valente","D. Baldock"
"Amegilla quadrifasciata",38.71,-8.31,NA,2016,8,14,"A. Albernaz Valente","D. Baldock"
"Amegilla quadrifasciata",38.991,-8.287,NA,2016,8,16,"A. Albernaz Valente","D. Baldock"
"Amegilla albigena",38.71,-8.31,NA,2016,8,22,"A. Albernaz Valente","D. Baldock"
