"","species","decimalLatitude","decimalLongitude","family","year","month","day","recordedBy","identifiedBy","sex"
"7","Xylocopa violacea",38.866343,0.005761,"Apidae",2018,1,4,"Katja Schulz",NA,NA
"13","Bombus lucorum",42.33,2.59,"Apidae",2018,1,23,"https://natusfera.gbif.es/users/2179",NA,NA
"16","Apis mellifera",43.041777,-9.161154,"Apidae",2018,1,28,"Álex Verdía",NA,NA
"22","Apis mellifera",41.38,2.04,"Apidae",2018,1,1,"https://natusfera.gbif.es/users/1731",NA,NA
"38","Bombus terrestris",37.350185,-6.034832,"Apidae",2018,2,13,"Juan Antonio Sánchez",NA,NA
"40","Apis mellifera",38.909163,-0.229156,"Apidae",2018,2,8,"supergan",NA,NA
"43","Xylocopa violacea",41.86,2.66,"Apidae",2018,3,2,"https://natusfera.gbif.es/users/2171",NA,NA
"46","Apis mellifera",40.449754,-3.663377,"Apidae",2018,3,25,"Agustin de la Fuente",NA,NA
"49","Bombus pascuorum",43.272162,-2.931227,"Apidae",2018,3,21,"zarapito",NA,NA
"51","Apis mellifera",36.723057,-4.411389,"Apidae",2018,3,18,"Bastiaan Notebaert",NA,NA
"52","Apis mellifera",41.71,2.24,"Apidae",2018,4,28,"https://natusfera.gbif.es/users/3394",NA,NA
"53","Apis mellifera",37.383392,-5.990556,"Apidae",2018,4,16,"Anita Shaul",NA,NA
"54","Apis mellifera",41.45,2.25,"Apidae",2018,4,15,"https://natusfera.gbif.es/users/672",NA,NA
"55","Apis mellifera",36.71,-6.12,"Apidae",2018,4,27,"https://natusfera.gbif.es/users/3573",NA,NA
"56","Xylocopa violacea",41.36,1.96,"Apidae",2018,4,19,"https://natusfera.gbif.es/users/2319",NA,NA
"57","Apis mellifera",36.43,-6.11,"Apidae",2018,4,28,"https://natusfera.gbif.es/users/3178",NA,NA
"58","Xylocopa violacea",36.4,-6.15,"Apidae",2018,4,28,"https://natusfera.gbif.es/users/2374",NA,NA
"59","Apis mellifera",36.44,-6.15,"Apidae",2018,4,28,"https://natusfera.gbif.es/users/3331",NA,NA
"60","Bombus terrestris",41.42,1.97,"Apidae",2018,4,28,"https://natusfera.gbif.es/users/2915",NA,NA
"61","Apis mellifera",41.4,1.9,"Apidae",2018,4,30,"https://natusfera.gbif.es/users/3671",NA,NA
"62","Xylocopa violacea",40.66,-3.75,"Apidae",2018,4,2,"https://natusfera.gbif.es/users/2369",NA,NA
"63","Bombus terrestris",41.45,2.25,"Apidae",2018,4,15,"https://natusfera.gbif.es/users/672",NA,NA
"64","Apis mellifera",42.680612,-4.82395,"Apidae",2018,4,23,"Cesar Pollo",NA,NA
"65","Xylocopa violacea",41.420282,1.938714,"Apidae",2018,4,21,"oriolusoriolus",NA,NA
"66","Xylocopa violacea",41.33,2.07,"Apidae",2018,4,18,"https://natusfera.gbif.es/users/3212",NA,NA
"68","Apis mellifera",36.780084,-2.602912,"Apidae",2018,4,30,"adriacuarista",NA,NA
"69","Apis mellifera",36.781053,-2.604673,"Apidae",2018,4,27,"adriacuarista",NA,NA
"70","Bombus terrestris",41.4,1.89,"Apidae",2018,4,27,"https://natusfera.gbif.es/users/3671",NA,NA
"71","Apis mellifera",41.38,2.04,"Apidae",2018,4,15,"https://natusfera.gbif.es/users/3069",NA,NA
"72","Bombus terrestris",43.51318,-8.211846,"Apidae",2018,5,22,"José Carlos García Fidalgo",NA,NA
"79","Apis mellifera",37.129939,-3.532092,"Apidae",2018,5,4,"Anita Shaul",NA,NA
"84","Apis mellifera",36.839444,-2.458611,"Apidae",2018,5,9,"n15ayn18a",NA,NA
"92","Apis mellifera",40.507355,0.325816,"Apidae",2018,5,1,"luciadefv",NA,NA
"104","Apis mellifera",39.829327,-6.224751,"Apidae",2018,5,8,"-658151596",NA,NA
"107","Bombus terrestris",42.182178,2.978295,"Apidae",2018,5,31,"mammal",NA,NA
"109","Apis mellifera",41.38423,2.152259,"Apidae",2018,6,24,"John Palmer",NA,NA
"110","Bombus terrestris",41.634754,2.704791,"Apidae",2018,6,12,"ant-toniscla",NA,NA
"111","Bombus lucorum",38.909163,-0.229156,"Apidae",2018,6,9,"supergan",NA,NA
"112","Apis mellifera",38.909163,-0.229156,"Apidae",2018,6,9,"supergan",NA,NA
"113","Xylocopa violacea",40.251923,-5.678876,"Apidae",2018,6,12,"-658151596",NA,NA
"114","Apis mellifera",36.184324,-5.954338,"Apidae",2018,6,9,"Yeray Seminario",NA,NA
"115","Apis mellifera",43.058613,-7.613333,"Apidae",2018,6,28,"castedo",NA,NA
"116","Xylocopa violacea",42.477533,-8.902729,"Apidae",2018,7,9,"Yago Carreño",NA,NA
"117","Xylocopa violacea",39.322739,2.996173,"Apidae",2018,7,28,"-2057092445",NA,NA
"118","Apis mellifera",38.842925,-0.115694,"Apidae",2018,7,5,"Donna's Utopia",NA,NA
"119","Apis mellifera",37.53285,-6.149108,"Apidae",2018,7,16,"José Ignacio Márquez Corro",NA,NA
"122","Bombus terrestris",41.129353,1.308155,"Apidae",2018,8,1,"albertcardona",NA,NA
"123","Apis mellifera",40.87509,0.398905,"Apidae",2018,8,20,"John Palmer",NA,NA
"124","Bombus lapidarius",42.078445,-8.862039,"Apidae",2018,8,19,"790597811",NA,NA
"125","Xylocopa violacea",39.322739,2.996173,"Apidae",2018,8,17,"-2057092445",NA,NA
"126","Bombus pascuorum",41.654831,2.688202,"Apidae",2018,8,5,"xaubet",NA,NA
"127","Xylocopa violacea",39.783215,2.787094,"Apidae",2018,8,3,"-2057092445",NA,NA
"128","Xylocopa violacea",39.322739,2.996173,"Apidae",2018,8,10,"-2057092445",NA,NA
"129","Xylocopa violacea",39.71138,2.62363,"Apidae",2018,8,3,"-2057092445",NA,NA
"130","Apis mellifera",39.71138,2.62363,"Apidae",2018,8,3,"-2057092445",NA,NA
"131","Xylocopa violacea",39.322739,2.996173,"Apidae",2018,8,11,"-2057092445",NA,NA
"132","Bombus pascuorum",43.271561,-5.591093,"Apidae",2018,8,10,"daniel_singu",NA,NA
"133","Xylocopa violacea",39.322739,2.996173,"Apidae",2018,8,16,"-2057092445",NA,NA
"134","Bombus pascuorum",36.983346,-3.111721,"Apidae",2018,9,5,"David Urry",NA,NA
"135","Xylocopa violacea",42.833458,-2.673182,"Apidae",2018,9,29,"garnikaisabel",NA,NA
"136","Apis mellifera",41.384337,2.175622,"Apidae",2018,9,14,"Gerardo Chavarri",NA,NA
"137","Xylocopa violacea",36.981623,-3.113997,"Apidae",2018,9,4,"David Urry",NA,NA
"138","Xylocopa violacea",42.370436,-8.735986,"Apidae",2018,10,4,"ovillegas",NA,NA
"139","Apis mellifera",39.683628,-0.281528,"Apidae",2018,10,7,"juanvi",NA,NA
"140","Apis mellifera",38.87,-0.08,"Apidae",2017,1,5,"https://natusfera.gbif.es/users/259",NA,NA
"141","Apis mellifera",38.7,-0.48,"Apidae",2017,1,24,"J. L. CantÃ³ Corchado","J. L. CantÃ³ Corchado",NA
"142","Apis mellifera",38.21,-3.95,"Apidae",2017,1,9,"https://natusfera.gbif.es/users/2369",NA,NA
"143","Apis mellifera",41.41,2.17,"Apidae",2017,2,25,"https://natusfera.gbif.es/users/148",NA,NA
"144","Apis mellifera",36.76356,-4.44875,"Apidae",2017,2,26,"Daniel Capilla",NA,NA
"146","Xylocopa violacea",39.467238,-0.339675,"Apidae",2017,2,21,"David Lozano Vázquez",NA,NA
"147","Apis mellifera",38.66,-0.54,"Apidae",2017,3,26,"J. L. CantÃ³ Corchado","J. L. CantÃ³ Corchado",NA
"148","Apis mellifera",38.74,-0.77,"Apidae",2017,3,21,"jose manuel aragoneses garcia","jose manuel aragoneses garcia",NA
"149","Apis mellifera",41.04,0.73,"Apidae",2017,3,18,"https://natusfera.gbif.es/users/1731",NA,NA
"150","Apis mellifera",37.763278,-6.200133,"Apidae",2017,3,5,"Javier Solís",NA,NA
"151","Xylocopa violacea",40.85,-3.7,"Apidae",2017,3,19,"https://natusfera.gbif.es/users/259",NA,NA
"153","Apis mellifera",36.839156,-4.643891,"Apidae",2017,3,8,"Lies Van Rompaey",NA,NA
"154","Melecta albifrons",39.744156,3.431425,"Apidae",2017,3,20,"1782348037",NA,NA
"156","Xylocopa violacea",38.08485,-6.422796,"Apidae",2017,4,4,"-742136095",NA,NA
"158","Bombus terrestris",42.385414,-2.630555,"Apidae",2017,4,29,"p_alonso",NA,NA
"160","Apis mellifera",41.36,2.16,"Apidae",2017,4,2,"https://natusfera.gbif.es/users/1369",NA,NA
"161","Xylocopa cantabrita",42.486235,-6.459843,"Apidae",2017,4,9,"Cesar Pollo",NA,NA
"163","Xylocopa iris",40.78,-3.79,"Apidae",2017,4,15,"https://natusfera.gbif.es/users/2030",NA,NA
"164","Apis mellifera",41.4064,1.920766,"Apidae",2017,4,23,"oriolusoriolus",NA,NA
"165","Xylocopa violacea",37.133709,-6.479653,"Apidae",2017,4,11,"Susanne Vogel",NA,NA
"166","Bombus terrestris",41.39,2.06,"Apidae",2017,4,2,"https://natusfera.gbif.es/users/220",NA,NA
"167","Nomada nobilis",40.78,-3.8,"Apidae",2017,4,14,"https://natusfera.gbif.es/users/2030",NA,NA
"168","Apis mellifera",41.39,2.05,"Apidae",2017,4,2,"https://natusfera.gbif.es/users/220",NA,NA
"169","Xylocopa violacea",39.63,2.63,"Apidae",2017,4,8,"https://natusfera.gbif.es/users/585",NA,NA
"170","Apis mellifera",40.5,-4.23,"Apidae",2017,4,7,"https://natusfera.gbif.es/users/1429",NA,NA
"171","Apis mellifera",40.41,-3.69,"Apidae",2017,4,6,"https://natusfera.gbif.es/users/1429",NA,NA
"172","Apis mellifera",40.5,-4.23,"Apidae",2017,4,7,"https://natusfera.gbif.es/users/1429",NA,NA
"173","Bombus pascuorum",42.385652,-2.630646,"Apidae",2017,4,29,"p_alonso",NA,NA
"175","Bombus hortorum",36.77,-3.51,"Apidae",2017,5,21,"https://natusfera.gbif.es/users/1107",NA,NA
"178","Xylocopa violacea",39.71,2.79,"Apidae",2017,5,1,"https://natusfera.gbif.es/users/638",NA,NA
"179","Bombus terrestris",40.42,-3.63,"Apidae",2017,5,19,"https://natusfera.gbif.es/users/1368",NA,NA
"182","Bombus pascuorum",43.395557,-2.680555,"Apidae",2017,5,17,"Fero Bednar",NA,NA
"183","Apis mellifera",41.41,2.17,"Apidae",2017,5,1,"https://natusfera.gbif.es/users/1302",NA,NA
"184","Apis mellifera",41.23,1.78,"Apidae",2017,6,24,"https://natusfera.gbif.es/users/2044",NA,NA
"186","Amegilla quadrifasciata",40.65,-3.25,"Apidae",2017,6,25,"https://natusfera.gbif.es/users/1107",NA,NA
"188","Bombus terrestris",42.928651,-5.274897,"Apidae",2017,6,7,"Cesar Pollo",NA,NA
"189","Apis mellifera",41.419613,2.098753,"Apidae",2017,6,13,"Gerardo Chavarri",NA,NA
"190","Bombus terrestris",43.300056,-2.245352,"Apidae",2017,6,13,"David Kaposi",NA,NA
"192","Bombus terrestris",42.553483,-2.583207,"Apidae",2017,6,11,"David Kaposi",NA,NA
"193","Apis mellifera",39.636473,2.647256,"Apidae",2017,6,26,"Joshua Borràs",NA,NA
"194","Xylocopa violacea",36.88,-3.29,"Apidae",2017,6,20,"https://natusfera.gbif.es/users/1107",NA,NA
"195","Apis mellifera",42.050655,3.195743,"Apidae",2017,6,2,"Eduardo Martínez",NA,NA
"196","Apis mellifera",40.75,-2.78,"Apidae",2017,7,20,"https://natusfera.gbif.es/users/259",NA,NA
"197","Apis mellifera",39.557992,-0.289625,"Apidae",2017,7,25,"Cesar Pollo",NA,NA
"198","Anthophora bimaculata",36.509131,-4.656572,"Apidae",2017,8,6,"Philip Mark Osso",NA,NA
"199","Xylocopa violacea",36.508229,-4.657817,"Apidae",2017,8,6,"Philip Mark Osso",NA,NA
"200","Xylocopa cantabrita",41.029886,-4.51897,"Apidae",2017,8,14,"papato",NA,NA
"202","Xylocopa violacea",40.85,-3.71,"Apidae",2017,8,29,"https://natusfera.gbif.es/users/2030",NA,NA
"203","Xylocopa violacea",42.833338,-2.67376,"Apidae",2017,9,29,"garnikaisabel",NA,NA
"205","Xylocopa violacea",42.699121,-2.433461,"Apidae",2017,10,15,"garnikaisabel",NA,NA
"206","Xylocopa violacea",41.364858,2.166624,"Apidae",2017,10,3,"Daniel Newberry",NA,NA
"207","Xylocopa violacea",41.38,2.05,"Apidae",2017,10,7,"https://natusfera.gbif.es/users/305",NA,NA
"208","Apis mellifera",41.39,2.05,"Apidae",2017,10,7,"https://natusfera.gbif.es/users/305",NA,NA
"209","Xylocopa violacea",40.41,-3.68,"Apidae",2017,10,5,"https://natusfera.gbif.es/users/2087",NA,NA
"210","Apis mellifera",40.862352,0.534807,"Apidae",2017,11,4,"Arnau Martinez Pellisa",NA,NA
"211","Apis mellifera",40.861547,0.53582,"Apidae",2017,11,15,"Arnau Martinez Pellisa",NA,NA
"212","Apis mellifera",36.906627,-2.431259,"Apidae",2017,11,10,"cassi saari",NA,NA
"216","Apis mellifera",41.36,1.96,"Apidae",2017,12,24,"https://natusfera.gbif.es/users/2319",NA,NA
"224","Bombus lucorum",41.35,1.96,"Apidae",2017,12,26,"https://natusfera.gbif.es/users/2319",NA,NA
"226","Xylocopa violacea",37.011909,-4.555292,"Apidae",2016,1,23,"Susanne Vogel",NA,NA
"227","Apis mellifera",39.45,2.91,"Apidae",2016,2,2,"https://natusfera.gbif.es/users/585",NA,NA
"228","Apis mellifera",38.66,-0.54,"Apidae",2016,2,22,"J. L. CantÃ³ Corchado","J. L. CantÃ³ Corchado",NA
"229","Apis mellifera",41.040861,0.733086,"Apidae",2016,2,21,"Xavier Ma Ma",NA,NA
"230","Xylocopa violacea",36.911419,-4.760867,"Apidae",2016,2,6,"Susanne Vogel",NA,NA
"232","Apis mellifera",41.059437,0.739313,"Apidae",2016,3,28,"Xavier Ma Ma",NA,NA
"233","Bombus terrestris",40.444125,-3.700268,"Apidae",2016,3,12,NA,NA,NA
"234","Apis mellifera",41.82,-4,"Apidae",2016,3,16,"https://natusfera.gbif.es/users/2369",NA,NA
"236","Apis mellifera",41.36,1.95,"Apidae",2016,4,17,"https://natusfera.gbif.es/users/2262",NA,NA
"237","Apis mellifera",38.28,-0.68,"Apidae",2016,4,26,"J. L. CantÃ³ Corchado","J. L. CantÃ³ Corchado",NA
"238","Apis mellifera",41.604083,1.772635,"Apidae",2016,4,19,"Andrei Deulofeu Brils",NA,NA
"239","Apis mellifera",38.25,-0.66,"Apidae",2016,4,26,"P. Perales Pacheco | R. GarcÃ­a de la Serrana MartÃ­nez","P. Perales Pacheco | R. GarcÃ­a de la Serrana MartÃ­nez",NA
"240","Apis mellifera",38.3,-0.54,"Apidae",2016,4,28,"J. Aragoneses GarcÃ­a","J. Aragoneses GarcÃ­a",NA
"241","Xylocopa violacea",42.07,2.4,"Apidae",2016,4,3,"https://natusfera.gbif.es/users/1302",NA,NA
"243","Apis mellifera",38.28,-0.63,"Apidae",2016,4,26,"V. Urios Moliner | A. Cano | J. Vidal","V. Urios Moliner | A. Cano | J. Vidal",NA
"244","Apis mellifera",39.21,-0.9,"Apidae",2016,5,17,"J. Estela Andreu","J. Estela Andreu",NA
"246","Apis mellifera",38.69,-0.48,"Apidae",2016,6,21,"J. L. CantÃ³ Corchado","J. L. CantÃ³ Corchado",NA
"247","Apis mellifera",40.67,-3.74,"Apidae",2016,6,21,"https://natusfera.gbif.es/users/2349",NA,NA
"248","Apis mellifera",36.7836,-4.4029,"Apidae",2016,6,6,"Daniel Capilla",NA,NA
"250","Apis mellifera",38.65,-0.55,"Apidae",2016,6,11,"J. L. CantÃ³ Corchado","J. L. CantÃ³ Corchado",NA
"251","Apis mellifera",42.053067,1.089879,"Apidae",2016,6,3,"Eduardo Martínez",NA,NA
"252","Apis mellifera",38.66,-0.54,"Apidae",2016,6,28,"J. L. CantÃ³ Corchado","J. L. CantÃ³ Corchado",NA
"253","Apis mellifera",38.65,-0.55,"Apidae",2016,7,10,"J. L. CantÃ³ Corchado","J. L. CantÃ³ Corchado",NA
"254","Amegilla quadrifasciata",39.08,-1.23,"Apidae",2016,7,15,"J. Estela Andreu","J. Estela Andreu",NA
"255","Apis mellifera",39.26,-0.47,"Apidae",2016,7,28,NA,"Alberto Martínez-Ortí",NA
"256","Apis mellifera",42.617978,1.082148,"Apidae",2016,7,2,"Paolo Lammens",NA,NA
"257","Apis mellifera",38.65,-0.55,"Apidae",2016,7,2,"J. L. CantÃ³ Corchado","J. L. CantÃ³ Corchado",NA
"258","Xylocopa violacea",40.82,-3.96,"Apidae",2016,7,31,"https://natusfera.gbif.es/users/259",NA,NA
"259","Amegilla quadrifasciata",39.07,-1.22,"Apidae",2016,7,12,"J. Estela Andreu","J. Estela Andreu",NA
"260","Apis mellifera",42.618068,1.082092,"Apidae",2016,7,2,"ivetpalomera",NA,NA
"261","Apis mellifera",39.63,2.64,"Apidae",2016,7,3,"https://natusfera.gbif.es/users/579",NA,NA
"263","Xylocopa violacea",38.789349,-0.298702,"Apidae",2016,8,20,"Susanne Vogel",NA,NA
"264","Amegilla quadrifasciata",39.12,-0.95,"Apidae",2016,8,20,"J. Estela Andreu","J. Estela Andreu",NA
"265","Apis mellifera",38.7,-0.48,"Apidae",2016,8,5,"J. L. CantÃ³ Corchado","J. L. CantÃ³ Corchado",NA
"266","Xylocopa cantabrita",40.902109,-4.007168,"Apidae",2016,9,8,"Guillermo García-Saúco",NA,NA
"267","Amegilla quadrifasciata",39.2,-1.02,"Apidae",2016,9,1,"J. Estela Andreu","J. Estela Andreu",NA
"268","Apis mellifera",42.776228,-6.462691,"Apidae",2016,10,6,"Cesar Pollo",NA,NA
"269","Apis mellifera",41.38,2.19,"Apidae",2016,10,29,"https://natusfera.gbif.es/users/655",NA,NA
"270","Xylocopa violacea",36.433334,-5.46101,"Apidae",2016,11,18,"1139381203",NA,NA
"271","Apis mellifera",39.71,2.9,"Apidae",2016,11,12,"https://natusfera.gbif.es/users/589",NA,NA
"272","Apis mellifera",37.76363,-6.199787,"Apidae",2016,11,1,"Javier Solís",NA,NA
"281","Apis mellifera",39.513148,-0.437126,"Apidae",2016,12,31,"Rafael Medina",NA,NA
"284","Bombus terrestris",40.44,-3.63,"Apidae",2015,2,15,"https://natusfera.gbif.es/users/2030",NA,NA
"285","Apis mellifera",40.39,0.16,"Apidae",2015,3,9,"M. Agueras Moreno","M. Agueras Moreno",NA
"286","Apis mellifera",40.38,0.16,"Apidae",2015,3,9,"M. Agueras Moreno","M. Agueras Moreno",NA
"287","Apis mellifera",40.38,0.17,"Apidae",2015,3,9,"M. Agueras Moreno","M. Agueras Moreno",NA
"288","Xylocopa violacea",39.848431,3.130089,"Apidae",2015,3,11,"1338700638",NA,NA
"289","Apis mellifera",40.71,-0.17,"Apidae",2015,3,30,"M. Agueras Moreno","M. Agueras Moreno",NA
"290","Apis mellifera",40.72,-0.06,"Apidae",2015,3,11,"M. Agueras Moreno","M. Agueras Moreno",NA
"291","Xylocopa violacea",39.847401,3.129148,"Apidae",2015,3,11,"1338700638",NA,NA
"292","Xylocopa violacea",39.780704,3.134365,"Apidae",2015,3,9,"1338700638",NA,NA
"293","Apis mellifera",40.38,0.16,"Apidae",2015,3,9,"M. Agueras Moreno","M. Agueras Moreno",NA
"294","Apis mellifera",40.44,0.04,"Apidae",2015,3,7,"M. Agueras Moreno","M. Agueras Moreno",NA
"295","Apis mellifera",38.58,-0.82,"Apidae",2015,3,27,"J. Aragoneses GarcÃ­a","J. Aragoneses GarcÃ­a",NA
"296","Apis mellifera",38.58,-0.83,"Apidae",2015,3,27,"J. Aragoneses GarcÃ­a","J. Aragoneses GarcÃ­a",NA
"297","Apis mellifera",40.66,-0.33,"Apidae",2015,4,2,"M. Agueras Moreno","M. Agueras Moreno",NA
"298","Apis mellifera",38.59,-0.8,"Apidae",2015,4,24,"J. Aragoneses GarcÃ­a","J. Aragoneses GarcÃ­a",NA
"299","Apis mellifera",40.78,-0.18,"Apidae",2015,4,9,"M. Agueras Moreno","M. Agueras Moreno",NA
"300","Apis mellifera",38.6,-0.73,"Apidae",2015,4,29,"J. Aragoneses GarcÃ­a","J. Aragoneses GarcÃ­a",NA
"301","Apis mellifera",38.59,-0.8,"Apidae",2015,4,24,"J. Aragoneses GarcÃ­a","J. Aragoneses GarcÃ­a",NA
"302","Apis mellifera",40.66,-0.32,"Apidae",2015,4,2,"M. Agueras Moreno","M. Agueras Moreno",NA
"303","Apis mellifera",38.6,-0.73,"Apidae",2015,4,29,"J. Aragoneses GarcÃ­a","J. Aragoneses GarcÃ­a",NA
"304","Apis mellifera",36.75436,-4.42587,"Apidae",2015,4,16,"Daniel Capilla",NA,NA
"305","Apis mellifera",40.68,-0.2,"Apidae",2015,4,9,"M. Agueras Moreno","M. Agueras Moreno",NA
"306","Apis mellifera",40.67,-0.33,"Apidae",2015,4,2,"M. Agueras Moreno","M. Agueras Moreno",NA
"307","Apis mellifera",40.66,-0.3,"Apidae",2015,4,2,"M. Agueras Moreno","M. Agueras Moreno",NA
"308","Apis mellifera",38.68,-0.61,"Apidae",2015,5,16,"J. L. CantÃ³ Corchado","J. L. CantÃ³ Corchado",NA
"309","Apis mellifera",36.701049,-3.898622,"Apidae",2015,5,26,"Lies Van Rompaey",NA,NA
"310","Apis mellifera",40.58,-0.21,"Apidae",2015,5,7,"J. L. CantÃ³ Corchado","J. L. CantÃ³ Corchado",NA
"311","Apis mellifera",38.909163,-0.229156,"Apidae",2015,5,23,"supergan",NA,NA
"312","Apis mellifera",40.58,-0.18,"Apidae",2015,5,4,"J. L. CantÃ³ Corchado","J. L. CantÃ³ Corchado",NA
"313","Apis mellifera",40.57,0.01,"Apidae",2015,5,23,"M. Agueras Moreno | M. J. Sanchis Carles","M. Agueras Moreno | M. J. Sanchis Carles",NA
"314","Apis mellifera",40.58,-0.21,"Apidae",2015,5,7,"J. L. CantÃ³ Corchado","J. L. CantÃ³ Corchado",NA
"315","Apis mellifera",40.58,-0.21,"Apidae",2015,5,7,"J. L. CantÃ³ Corchado","J. L. CantÃ³ Corchado",NA
"316","Apis mellifera",40.58,-0.21,"Apidae",2015,5,7,"J. L. CantÃ³ Corchado","J. L. CantÃ³ Corchado",NA
"317","Apis mellifera",40.57,-0.21,"Apidae",2015,5,6,"J. L. CantÃ³ Corchado","J. L. CantÃ³ Corchado",NA
"318","Apis mellifera",40.59,-0.22,"Apidae",2015,5,5,"A. Ribes Koninckx | J. L. CantÃ³ Corchado","A. Ribes Koninckx | J. L. CantÃ³ Corchado",NA
"319","Apis mellifera",40.6,-0.22,"Apidae",2015,5,5,"A. Ribes Koninckx | J. L. CantÃ³ Corchado","A. Ribes Koninckx | J. L. CantÃ³ Corchado",NA
"320","Apis mellifera",38.68,-0.61,"Apidae",2015,5,16,"J. L. CantÃ³ Corchado","J. L. CantÃ³ Corchado",NA
"321","Apis mellifera",38.68,-0.61,"Apidae",2015,5,16,"J. L. CantÃ³ Corchado","J. L. CantÃ³ Corchado",NA
"322","Apis mellifera",38.72,-0.77,"Apidae",2015,5,15,"J. Aragoneses GarcÃ­a","J. Aragoneses GarcÃ­a",NA
"323","Bombus pascuorum",41.027928,0.724432,"Apidae",2015,6,20,"Xavier Ma Ma",NA,NA
"324","Bombus terrestris",41.028057,0.724604,"Apidae",2015,6,20,"Xavier Ma Ma",NA,NA
"326","Apis mellifera",38.82,-0.69,"Apidae",2015,6,1,"Guillermo FernÃ¡ndez Alfaro","Guillermo FernÃ¡ndez Alfaro",NA
"327","Apis mellifera",39.07,-1.04,"Apidae",2015,6,15,"Guillermo FernÃ¡ndez Alfaro","Guillermo FernÃ¡ndez Alfaro",NA
"328","Apis mellifera",38.35,-0.53,"Apidae",2015,7,27,"J. Aragoneses GarcÃ­a","J. Aragoneses GarcÃ­a",NA
"331","Xylocopa violacea",39.322739,2.996173,"Apidae",2015,8,7,"-2057092445",NA,NA
"332","Apis mellifera",42.363286,-4.313733,"Apidae",2015,8,16,"Cesar Pollo",NA,NA
"334","Xylocopa violacea",39.71138,2.62363,"Apidae",2015,8,3,"-2057092445",NA,NA
"335","Apis mellifera",36.683586,-3.838598,"Apidae",2015,8,28,"Lies Van Rompaey",NA,NA
"337","Apis mellifera",39.12,-0.94,"Apidae",2015,10,10,"Guillermo FernÃ¡ndez Alfaro","Guillermo FernÃ¡ndez Alfaro",NA
"341","Bombus terrestris",36.834047,-2.463714,"Apidae",2015,11,8,"n30byn31b",NA,NA
"345","Apis mellifera",36.772099,-3.887068,"Apidae",2015,12,20,"Lies Van Rompaey",NA,NA
"346","Apis mellifera",38.8,-0.4,"Apidae",2014,1,1,"J. L. CantÃ³ Corchado","J. L. CantÃ³ Corchado",NA
"347","Apis mellifera",40.1,-0.12,"Apidae",2014,2,12,"G. Ros Montolio","G. Ros Montolio",NA
"348","Apis mellifera",40.12,0.09,"Apidae",2014,2,4,"G. Ros Montolio","G. Ros Montolio",NA
"349","Apis mellifera",38.7,-0.48,"Apidae",2014,2,2,"J. L. CantÃ³ Corchado","J. L. CantÃ³ Corchado",NA
"350","Xylocopa violacea",37.172695,-3.585577,"Apidae",2014,3,7,"1647598034",NA,NA
"351","Nomada femoralis",36.829947,-2.155771,"Apidae",2014,3,25,"Petr Bogusch","Maximilian Schwarz",NA
"352","Bombus terrestris",39.389774,3.149643,"Apidae",2014,3,15,"-2075801121",NA,NA
"353","Apis mellifera",41.461222,2.244231,"Apidae",2014,3,2,"robertosaez",NA,NA
"354","Xylocopa violacea",37.1768,-3.591285,"Apidae",2014,3,5,"1647598034",NA,NA
"356","Bombus terrestris",39.785034,3.115326,"Apidae",2014,3,17,"-2075801121",NA,NA
"357","Nomada integra",36.86913,-2.619975,"Apidae",2014,3,30,"Petr Bogusch","Maximilian Schwarz",NA
"358","Xylocopa violacea",37.186852,-3.587894,"Apidae",2014,3,6,"1647598034",NA,NA
"359","Apis mellifera",38.296838,-3.606736,"Apidae",2014,4,9,"La Almeja MaYa",NA,NA
"360","Bombus terrestris",38.70708,-0.224018,"Apidae",2014,4,27,"Pep-Laura Ferrer Mengual",NA,NA
"361","Apis mellifera",39.57,-0.94,"Apidae",2014,5,13,"Semana de la Biodiversidad","Semana de la Biodiversidad",NA
"362","Apis mellifera",39.56,-0.89,"Apidae",2014,5,14,"S. Montagud Alario | J. V. PÃ©rez Santa Rita | M. A. IbÃ¡Ã±ez-Orrico | J. Estela Andreu | J. Baixeras Almela | G. FernÃ¡ndez Alfaro","S. Montagud Alario | J. V. PÃ©rez Santa Rita | M. A. IbÃ¡Ã±ez-Orrico | J. Estela Andreu | J. Baixeras Almela | G. FernÃ¡ndez Alfaro",NA
"363","Apis mellifera",39.59,-0.93,"Apidae",2014,5,14,"G. FernÃ¡ndez Alfaro | J. Baixeras Almela | J. Estela Andreu | J. V. PÃ©rez Santa Rita | M. A. IbÃ¡Ã±ez-Orrico | S. Montagud Alario","G. FernÃ¡ndez Alfaro | J. Baixeras Almela | J. Estela Andreu | J. V. PÃ©rez Santa Rita | M. A. IbÃ¡Ã±ez-Orrico | S. Montagud Alario",NA
"364","Apis mellifera",36.77478,-3.888865,"Apidae",2014,5,11,"Lies Van Rompaey",NA,NA
"365","Apis mellifera",39.06,-1.06,"Apidae",2014,5,16,"Guillermo FernÃ¡ndez Alfaro","Guillermo FernÃ¡ndez Alfaro",NA
"366","Xylocopa violacea",39.57,-0.94,"Apidae",2014,5,13,"C. Viedma Gil de Bergara | E. Laguna Lumbreras | I. Ferrando Pardo | M. Piera Ortiz | P. P. Ferrer Gallego | X. GarcÃ­a MartÃ­","C. Viedma Gil de Bergara | E. Laguna Lumbreras | I. Ferrando Pardo | M. Piera Ortiz | P. P. Ferrer Gallego | X. GarcÃ­a MartÃ­",NA
